ACCOUNT_ID,CHURN_FLAG,CLASSIFICATION1,DOMICILESTATE,ACCOUNTOPENDATE,ACCOUNTCLOSEDATE,ACCOUNTSTATUS,total_transactions,transaction_frequency_30d,transaction_frequency_90d,days_since_last_transaction,avg_transaction_amount,total_transaction_volume,transaction_volatility,net_cash_flow,inflow_outflow_ratio,total_realized_gain,total_realized_loss,gain_loss_ratio,transaction_trend_30d,large_transaction_count,transaction_consistency_score,current_portfolio_value,portfolio_volatility,unrealized_pnl,total_return_pct,max_drawdown,portfolio_diversification,value_at_risk,account_age_years,account_status_encoded,days_since_closure,value_tier,geographic_risk,transaction_activity_risk,portfolio_performance_risk,account_relationship_risk,cash_flow_risk,concentration_risk,engagement_decline_risk,comprehensive_risk_score,adjusted_risk_score
159331,0,Individual,MD,2002-08-14,,OPEN,322,23,83,5,-129.80378881987576,659240.26,6944.469860060613,-41796.820000000065,0.8807571776374509,25617.36,0.0,1,-9.885811975792698e-15,77,0.2588643560314204,0,0,0,0,0,0,0,22.913073237508556,1,0.0,4.0,1.0,1,1,3,2,3,1,11,0.0
170364,0,IRA,NY,2010-02-12,,OPEN,192,12,49,13,5.744218750000008,61198.05,1060.6513632765145,1102.8900000000067,1.0367047862090726,5299.08,-1304.13,1,-2.220446049250313e-16,40,0.20571304993187117,0,0,0,0,0,0,0,15.41409993155373,1,0.0,4.0,2.0,1,1,3,1,3,1,10,0.0
174349,0,IRA,TX,2012-01-19,,OPEN,30,2,6,12,0.0,37993.84,4709.270960778801,0.0,1.0,18088.43,0.0,1,0.0,6,0.05469093997234011,0,0,0,0,0,0,0,13.481177275838467,1,0.0,4.0,1.0,1,1,2,1,3,1,9,0.0
178417,0,Trust,DE,2013-03-13,,OPEN,419,25,87,5,646.265751789976,3675891.7699999996,26794.54614476115,270785.3500000001,1.1590466297379334,139522.65999999997,-348.11,1,4376.226000000001,80,0.259963540642406,0,0,0,0,0,0,0,12.334017796030116,1,0.0,4.0,1.0,1,1,2,1,3,1,9,0.0
180044,0,IRA,IL,2013-09-27,,OPEN,81,4,12,12,16.261975308642032,649121.46,30339.562743999846,1317.2199999999139,1.0040667223789703,21.87,-11017.73,1,-0.0024999999999977263,15,0.08495011086827131,0,0,0,0,0,0,0,11.791923340177961,1,0.0,4.0,1.0,1,1,2,1,3,1,9,0.0
181482,0,Trust,NJ,2014-03-19,,OPEN,258,27,74,4,54.93406976744184,618797.15,7031.248995436595,14172.98999999999,1.046881983677265,27016.12,-16241.369999999999,1,-6.736997790910579e-14,60,0.25778897588313787,0,0,0,0,0,0,0,11.318275154004107,1,0.0,4.0,1.0,1,1,2,1,3,1,9,0.0
201160,0,IRA,HI,2019-07-03,,OPEN,63,5,9,11,66.54555555555558,39954.69000000001,1762.380874594931,4192.370000000003,1.2344573841965512,8510.81,0.0,1,101.192,17,0.06382678414776266,0,0,0,0,0,0,0,6.028747433264887,1,0.0,3.0,1.0,1,1,1,1,3,1,8,0.0
319228,0,,,,,OPEN,0,0,0,9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,,1,0.0,,1.0,3,1,1,1,3,3,12,0.0
700361,0,Joint,MA,2022-03-21,,OPEN,1633,130,519,11,1586.2772688303737,3940560.5999999996,4859.803901841065,2590390.78,4.8371332874260204,37088.899999999994,-40969.49,1,822.7210769230769,197,0.5265771241902396,0,0,0,0,0,0,0,3.3127994524298425,1,0.0,2.0,1.0,1,1,1,1,3,1,8,0.0
725569,0,Trust,FL,2022-10-14,,OPEN,1296,117,276,5,819.6048533950617,2351602.35,5225.869205259717,1062207.89,2.647607342752194,27588.55,-30852.06,1,-6.801776615823181e-14,184,0.49720615021798464,0,0,0,0,0,0,0,2.746064339493498,1,0.0,2.0,1.0,1,1,1,1,3,1,8,0.0
757105,0,IRA,NY,2023-06-12,,OPEN,33,2,8,12,-3.835315903250541e-15,1717.6999999999998,175.76272445046473,0.0,1.0,699.78,0.0,1,0.0,8,0.05894084750641961,0,0,0,0,0,0,0,2.086242299794661,1,0.0,2.0,2.0,1,1,1,1,3,1,8,0.0
764083,0,Trust,NY,2022-05-10,,CLOSED,0,0,0,9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,3.1759069130732374,0,,2.0,2.0,3,1,1,1,3,3,12,0.0
778991,0,Trust,NY,2024-04-23,,OPEN,62,2,8,12,0.4475806451613056,180574.31,8293.185281167072,27.750000000014552,1.0003073999305223,38.620000000000005,-2164.1099999999997,1,0.0,14,0.08407423223428481,0,0,0,0,0,0,0,1.2210814510609171,1,0.0,1.0,2.0,1,1,1,1,3,1,8,0.0
783149,0,Individual,NJ,2024-08-07,,OPEN,625,8,205,13,5313.031072000001,9338705.780000001,78274.66357763234,3320644.42,2.1035595090708745,107845.12,-50403.130000000005,1,0.0,73,0.23941673410606432,0,0,0,0,0,0,0,0.9308692676249144,1,0.0,1.0,1.0,1,1,1,1,3,1,8,0.0
792288,0,Entity,NY,2025-02-13,,OPEN,30,7,19,11,-24928.486,3727138.5,293855.01380355825,-747854.5799999996,0.6657627993471669,0.0,0.0,0,0.0,6,0.11265887397379772,0,0,0,0,0,0,0,0.4106776180698152,1,0.0,1.0,2.0,1,1,1,3,3,1,10,0.0
162150,1,Joint,NY,2005-08-12,2018-12-06,CLOSED,257,0,0,2412,-4785.83326848249,4755693.050000001,33879.17509182524,-1229959.1499999997,0.5890308661769557,0.0,-1.12,0,0.0,75,0.20969346006419137,0,0,0,0,0,0,0,19.917864476386036,0,2411.0,4.0,2.0,3,1,3,3,3,3,16,0.0
188915,1,Individual,DC,2016-06-23,2018-05-22,CLOSED,1,0,0,2749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0,0,0,0,0,0,0,9.05407255304586,0,2609.0,3.0,1.0,3,1,1,1,3,3,12,0.0
205156,1,Trust,NY,1997-12-10,2004-09-03,CLOSED,45,0,0,7619,0.24955555555546502,84637.31000000001,5753.143469488483,11.229999999995925,1.0002654028167202,82.26,-7426.54,1,0.0,7,0.0821231053063089,0,0,0,0,0,0,0,27.589322381930184,0,7618.0,4.0,2.0,3,1,3,1,3,3,14,0.0
209310,1,WRAP Fee Accounts,NY,1997-07-09,2004-04-23,CLOSED,0,0,0,9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,28.01095140314853,0,7751.0,4.0,2.0,3,1,3,1,3,3,14,0.0
209324,1,WRAP Fee Accounts,CT,1997-07-18,2004-04-23,CLOSED,0,0,0,9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,27.98631074606434,0,7751.0,4.0,1.0,3,1,3,1,3,3,14,0.0
214436,1,Individual,NY,2000-06-02,2000-06-29,CLOSED,0,0,0,9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,25.111567419575632,0,9145.0,4.0,2.0,3,1,3,1,3,3,14,0.0
215886,1,Trust,FL,2001-02-02,2004-11-22,CLOSED,270,0,0,7540,574.0520370370375,4122169.7699999996,35439.262993797885,154994.05000000028,1.0781382328080997,93859.91,-29440.61,1,0.0,58,0.26861541120785704,0,0,0,0,0,0,0,24.44079397672827,0,7538.0,4.0,1.0,3,1,3,1,3,3,14,0.0
222468,1,IRA,CA,2002-01-23,2016-04-18,CLOSED,38,0,0,3373,1.3404482202579522e-14,29124.579999999998,2375.0750139436564,0.0,1.0,2602.48,0.0,1,0.0,12,0.0766290347859135,0,0,0,0,0,0,0,23.468856947296374,0,3373.0,4.0,3.0,3,1,3,1,3,3,14,0.0
232768,1,IRA,NJ,2005-02-18,2006-12-12,CLOSED,139,0,0,6802,-75.1440287769784,13161.42,352.7057941399365,-10445.02,0.11507029437729702,894.41,0.0,1,0.0,39,0.12682143669011572,0,0,0,0,0,0,0,20.396988364134156,0,6788.0,4.0,1.0,3,1,3,2,3,3,15,0.0
244070,1,Individual,NY,2007-03-20,2008-09-12,CLOSED,319,0,0,6155,223.25683385579936,843666.6699999999,5770.865986584122,71218.93000000005,1.1843980539058865,2709.83,-43893.28,1,0.0,53,0.2339734542280416,0,0,0,0,0,0,0,18.316221765913756,0,6148.0,4.0,2.0,3,1,3,1,3,3,14,0.0
246263,1,Non-Profit,NY,2007-07-27,2009-11-05,CLOSED,325,0,0,5729,2171.7571384615385,4100015.13,35657.993335198335,705821.0700000003,1.4158990661836233,70305.51,-228692.62,1,0.0,50,0.3254796207055803,0,0,0,0,0,0,0,17.963039014373717,0,5729.0,4.0,2.0,3,1,3,1,3,3,14,0.0
282593,1,Individual,CA,2016-06-29,2016-11-02,CLOSED,0,0,0,9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,9.037645448323067,0,3175.0,3.0,3.0,3,1,1,1,3,3,12,0.0
288774,1,RETIREMENT PLAN,NY,2012-09-27,2017-03-03,CLOSED,719,0,0,3054,-65.90057023643944,2591792.6500000004,30130.539799755028,-47382.51000000001,0.9640929403109417,145761.94,-46203.42,1,0.0,116,0.42754022564083966,0,0,0,0,0,0,0,12.791238877481177,0,3054.0,4.0,2.0,3,1,2,2,3,3,14,0.0
289906,1,Trust,NJ,2013-01-23,2014-05-12,CLOSED,815,0,0,4080,-3.403630479027523e-14,2179202.88,26569.889504498486,-2.3283064365386963e-10,0.9999999999999998,121128.89,-20013.6,1,0.0,101,0.5066102402359587,0,0,0,0,0,0,0,12.46817248459959,0,4080.0,4.0,1.0,3,1,2,2,3,3,14,0.0
614379,1,Entity,,2021-02-19,2022-07-12,CLOSED,42,0,0,1287,-72102.92714285714,13375367.94,817260.0683421504,-3028322.9400000004,0.6307754197328547,0.0,0.0,0,0.0,42,0.040036677099365384,0,0,0,0,0,0,0,4.394250513347022,0,1097.0,2.0,1.0,3,1,1,3,3,3,14,0.0
